manmo,lat,long,aircraftType,location,date,year,timeOfYear,ntsbID,no_injuries,minor_injuries,serious_injuries,fatal_injuries,total_injuries_exc_fatal,total_injuries_inc_fatal, total_uninjured
De Havilland DHC-1,35.465833333333336,-84.01027777777777,fixed,"Vonore, TN",03/23/2014,2014,spring,ERA14FA163,0,0,0,1,0,1,0
Cessna 172,38.405,-120.79194444444444,fixed,"Sutter Creek, CA",12/24/2014,2014,winter,WPR15FA070,0,0,0,2,0,2,0
Stodard-Hamiltn GLASAIRIII,33.928888888888885,-110.66388888888889,fixed,"Young, AZ",04/26/2014,2014,spring,WPR14FA172,0,0,0,1,0,1,0
Mooney MK 20,35.10944444444445,-105.72083333333333,fixed,"Clines Corners, NM",11/12/2014,2014,fall,CEN15FA044,0,0,0,1,0,1,0
Piper J-3,36.63611111111111,-80.72,fixed,"Carrol County, VA",09/10/2014,2014,fall,ERA14LA433,0,0,1,0,1,1,0
Piper PA 28,35.12,-89.24,fixed,"Sommerville, TN",12/01/2014,2014,winter,ERA15FA066,0,0,0,1,0,1,0
Grumman Amer. AA-5,43.97638888888889,-124.10694444444444,fixed,"Florence, OR",06/15/2014,2014,summer,WPR14FA244,0,0,0,2,0,2,0
Piper PA 28R,31.572222222222223,-83.60527777777777,fixed,"Tifton, GA",10/18/2013,2013,fall,ERA14FA002,0,0,0,1,0,1,0
Focke-Wulf FWP-149D,35.014722222222225,-77.96055555555556,fixed,"Kenansville, NC",11/17/2013,2013,fall,ERA14FA044,0,0,0,1,0,1,0
Cessna 208,62.05083333333333,-163.26916666666668,fixed,"Saint Marys, AK",11/29/2013,2013,fall,ANC14MA008,0,0,6,4,6,10,0
Piper PA 32R,35.896388888888886,-93.76055555555556,fixed,"Huntsville, AR",10/21/2013,2013,fall,CEN14FA014,0,0,0,2,0,2,0
Cessna 206,67.17777777777778,-161.86305555555555,fixed,"Kotzebue, AK",09/13/2013,2013,fall,ANC13LA100,0,0,2,0,2,2,0
Cessna 182,38.81194444444444,108.03083333333333,fixed,"Delta, CO",11/29/2013,2013,fall,CEN14FA071,0,0,0,1,0,1,0
Piper PA 28,48.519999999999996,99.11999999999999,fixed,"Rock Lake, ND",11/30/2013,2013,fall,CEN14LA074,0,0,3,0,3,3,0
Piper PA 30/39,39.94194444444444,77.22111111111111,fixed,"Biglerville, PA",12/26/2013,2013,winter,ERA14FA077,0,0,0,2,0,2,0
Cessna 207,60.939166666666665,-164.64138888888888,fixed,"Newtok, AK",05/04/2013,2013,spring,ANC13CA042,0,4,0,0,4,4,0
Diamond Acft DA-40,34.81222222222222,-83.80666666666666,fixed,"Blairsville, GA",08/30/2013,2013,summer,ERA13CA389,0,2,0,0,2,2,0
Vans Company RV-10,44.31305555555555,-74.03111111111112,fixed,"Lake Placid, NY",02/21/2013,2013,fall,ERA13CA142,0,3,0,0,3,3,0
Cessna 182,47.73861111111111,-105.92805555555556,fixed,"Circle, MT",04/06/2013,2013,spring,WPR13FA183,0,0,0,1,0,1,0
